2025-05-12 16:54:44 | INFO | __main__ | PIPELINE STARTED!
2025-05-12 16:54:44 | INFO | __main__ | repo_url: https://github.com/username/repo-name
2025-05-12 16:54:44 | INFO | __main__ | Validating GitHub URL...
2025-05-12 16:54:44 | INFO | __main__ | Verifying GitHub token...
2025-05-12 16:54:45 | INFO | __main__ | Checking Docker is running...
2025-05-12 16:54:45 | INFO | __main__ | Checking Docker image exists...
2025-05-12 16:54:45 | INFO | __main__ | Running OSSF Scorecard (summary)...
2025-05-12 16:55:18 | INFO | __main__ | Running OSSF Scorecard (vulnerabilities)...
2025-05-12 16:55:30 | INFO | __main__ | Performing data transformation...
2025-05-12 16:55:32 | INFO | __main__ | Calling OSV API...
2025-05-12 16:55:43 | INFO | __main__ | Writing data to CSV file...
2025-05-12 16:55:43 | INFO | __main__ | Cleaning up temporary files...
2025-05-12 16:55:43 | INFO | __main__ | PIPELINE COMPLETED!
